dataset_name,source_files,main_record_path,record_count,field_count
analytics_sales_funnel,1,data.products,1,100
analytics_stocks,1,data.items,9,8
communications_chats,1,result,11,22
communications_feedbacks,1,data.feedbacks,12,39
fbw_supplies,1,$,18,10
finance_balance,1,$,1,3
finance_sales_reports,1,$,6,46
finance_sales_reports_detailed,1,$,6,109
general_seller_info,1,$,1,4
items_cards,1,cards,18,30
items_stocks,1,stocks,14,14
items_warehouses,1,$,17,10
orders_dbs_completed,1,orders,15,39
orders_dbs_new,1,orders,8,39
orders_dbs_statuses,1,orders,13,11
orders_dbw_completed,1,orders,16,37
orders_dbw_new,1,orders,7,38
orders_dbw_statuses,1,orders,10,10
orders_fbs_archive,1,orders.metaDetails,0,0
orders_fbs_current,1,orders,15,40
orders_fbs_new,1,orders,15,44
orders_fbs_statuses,1,orders,11,11
orders_pickup_new,1,orders,12,32
orders_pickup_statuses,1,orders,18,11
promotion_campaigns,1,adverts,13,20
promotion_fullstats,1,days.apps,0,0
report_orders,1,$,11,48
report_sales,1,$,15,49
tariffs_acceptance,1,$,14,13
tariffs_box,1,response.data.warehouseList,3,11
tariffs_commission,1,report,17,10
