model_name,total_rules,bad,warning,info
stg_analytics_sales_funnel,40,40,0,0
stg_analytics_stocks,8,8,0,0
stg_communications_chats,8,8,0,0
stg_communications_feedbacks,8,7,1,0
stg_fbw_supplies,7,7,0,0
stg_finance_balance,6,6,0,0
stg_finance_sales_reports,13,7,6,0
stg_finance_sales_reports_detailed,16,7,9,0
stg_general_seller_info,7,6,1,0
stg_items_cards,9,7,2,0
stg_items_stocks,11,11,0,0
stg_items_warehouses,8,7,1,0
stg_orders_current,17,13,4,0
stg_orders_dbs_statuses,10,7,3,0
stg_orders_dbw_statuses,10,7,3,0
stg_orders_fbs_statuses,10,7,3,0
stg_orders_pickup_statuses,10,7,3,0
stg_promotion_campaigns,7,7,0,0
stg_promotion_fullstats,41,41,0,0
stg_report_orders,15,7,8,0
stg_report_sales,16,7,9,0
stg_tariffs_acceptance,7,6,1,0
stg_tariffs_box,7,6,1,0
stg_tariffs_commission,7,6,1,0
